"filename", "language", "JavaScript", "Vue", "Markdown", "SCSS", "XML", "comment", "blank", "total"
"e:\cnc_clone\src\.eslintrc.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 22
"e:\cnc_clone\src\App.vue", "Vue", 0, 158, 0, 0, 0, 14, 27, 199
"e:\cnc_clone\src\Readme.md", "Markdown", 0, 0, 34, 0, 0, 0, 7, 41
"e:\cnc_clone\src\api\auth.js", "JavaScript", 100, 0, 0, 0, 0, 88, 17, 205
"e:\cnc_clone\src\api\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"e:\cnc_clone\src\assets\images\eye-close.svg", "XML", 0, 0, 0, 0, 5, 3, 0, 8
"e:\cnc_clone\src\assets\images\eye-open.svg", "XML", 0, 0, 0, 0, 5, 3, 0, 8
"e:\cnc_clone\src\assets\images\google-logo.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 6
"e:\cnc_clone\src\assets\images\shield-check.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 4
"e:\cnc_clone\src\assets\styles\_mixins.scss", "SCSS", 0, 0, 0, 47, 0, 7, 8, 62
"e:\cnc_clone\src\assets\styles\_variables.scss", "SCSS", 0, 0, 0, 38, 0, 10, 9, 57
"e:\cnc_clone\src\assets\styles\auth.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"e:\cnc_clone\src\assets\styles\index.scss", "SCSS", 0, 0, 0, 25, 0, 3, 3, 31
"e:\cnc_clone\src\assets\styles\main.scss", "SCSS", 0, 0, 0, 47, 0, 7, 6, 60
"e:\cnc_clone\src\components\Cert\cert.vue", "Vue", 0, 0, 0, 0, 0, 0, 1, 1
"e:\cnc_clone\src\components\CouponCenter\BannerSection.vue", "Vue", 0, 14, 0, 0, 0, 0, 1, 15
"e:\cnc_clone\src\components\CouponCenter\CouponsCenter.vue", "Vue", 0, 177, 0, 0, 0, 7, 28, 212
"e:\cnc_clone\src\components\CouponCenter\NewUserCoupons.vue", "Vue", 0, 108, 0, 0, 0, 1, 13, 122
"e:\cnc_clone\src\components\CustomerGuidance\2D.vue", "Vue", 0, 12, 0, 0, 0, 2, 2, 16
"e:\cnc_clone\src\components\CustomerGuidance\KeepSecret.vue", "Vue", 0, 12, 0, 0, 0, 2, 2, 16
"e:\cnc_clone\src\components\CustomerGuidance\cnc.vue", "Vue", 0, 100, 0, 0, 0, 0, 2, 102
"e:\cnc_clone\src\components\CustomerGuidance\hand.vue", "Vue", 0, 12, 0, 0, 0, 2, 2, 16
"e:\cnc_clone\src\components\CustomerGuidance\sheet.vue", "Vue", 0, 46, 0, 0, 0, 1, 5, 52
"e:\cnc_clone\src\components\Footer.vue", "Vue", 0, 202, 0, 0, 0, 11, 30, 243
"e:\cnc_clone\src\components\Header.vue", "Vue", 0, 246, 0, 0, 0, 12, 38, 296
"e:\cnc_clone\src\components\Home\CompanyNews.vue", "Vue", 0, 347, 0, 0, 0, 6, 31, 384
"e:\cnc_clone\src\components\Home\CustomerReviews.vue", "Vue", 0, 610, 0, 0, 0, 26, 58, 694
"e:\cnc_clone\src\components\Home\HomeBanner.vue", "Vue", 0, 215, 0, 0, 0, 6, 19, 240
"e:\cnc_clone\src\components\Home\LogoDisplay.vue", "Vue", 0, 334, 0, 0, 0, 7, 45, 386
"e:\cnc_clone\src\components\Home\MaterialSupport.vue", "Vue", 0, 363, 0, 0, 0, 7, 40, 410
"e:\cnc_clone\src\components\Home\OrderProcess.vue", "Vue", 0, 218, 0, 0, 0, 1, 33, 252
"e:\cnc_clone\src\components\Home\OurProcessDisplay.vue", "Vue", 0, 136, 0, 0, 0, 3, 25, 164
"e:\cnc_clone\src\components\Home\ProcessDisplay.vue", "Vue", 0, 185, 0, 0, 0, 22, 30, 237
"e:\cnc_clone\src\components\Member\FUE.vue", "Vue", 0, 45, 0, 0, 0, 0, 8, 53
"e:\cnc_clone\src\components\Member\FUF.vue", "Vue", 0, 45, 0, 0, 0, 0, 8, 53
"e:\cnc_clone\src\components\Member\LeftNav.vue", "Vue", 0, 558, 0, 0, 0, 5, 37, 600
"e:\cnc_clone\src\components\Member\QuickOrder.vue", "Vue", 0, 42, 0, 0, 0, 1, 8, 51
"e:\cnc_clone\src\components\Member\Slideshow.vue", "Vue", 0, 29, 0, 0, 0, 0, 5, 34
"e:\cnc_clone\src\components\Member\TemplateOrder.vue", "Vue", 0, 45, 0, 0, 0, 0, 8, 53
"e:\cnc_clone\src\components\NavHeader\MaterialsIntroduction.vue", "Vue", 0, 380, 0, 0, 0, 35, 59, 474
"e:\cnc_clone\src\components\NavHeader\NavHeader.vue", "Vue", 0, 498, 0, 0, 0, 57, 16, 571
"e:\cnc_clone\src\components\NavHeader\SalesPromotion.vue", "Vue", 0, 187, 0, 0, 0, 6, 31, 224
"e:\cnc_clone\src\components\NavHeader\ServiceGuidance\ServiceGuidance.vue", "Vue", 0, 116, 0, 0, 0, 6, 21, 143
"e:\cnc_clone\src\components\NavHeader\ServiceGuidance\TechForum.vue", "Vue", 0, 143, 0, 0, 0, 8, 19, 170
"e:\cnc_clone\src\components\NavHeader\ServiceGuidance\TechnicalColumn.vue", "Vue", 0, 184, 0, 0, 0, 15, 29, 228
"e:\cnc_clone\src\components\NavHeader\ServiceGuidance\UserEvaluation.vue", "Vue", 0, 191, 0, 0, 0, 10, 28, 229
"e:\cnc_clone\src\components\Order\PaymentDialog.vue", "Vue", 0, 27, 0, 0, 0, 17, 6, 50
"e:\cnc_clone\src\components\Order\SubmitOrder.vue", "Vue", 0, 4, 0, 0, 0, 0, 0, 4
"e:\cnc_clone\src\components\Order\UnifiedPaymentCenter.vue", "Vue", 0, 217, 0, 0, 0, 19, 21, 257
"e:\cnc_clone\src\components\Order\cncOrder.vue", "Vue", 0, 419, 0, 0, 0, 30, 36, 485
"e:\cnc_clone\src\components\Order\cncPaidOrder.vue", "Vue", 0, 268, 0, 0, 0, 17, 26, 311
"e:\cnc_clone\src\components\PriceInquiry\AddressEditDialog.vue", "Vue", 0, 460, 0, 0, 0, 14, 50, 524
"e:\cnc_clone\src\components\PriceInquiry\ContactEditDialog.vue", "Vue", 0, 300, 0, 0, 0, 10, 38, 348
"e:\cnc_clone\src\components\PriceInquiry\DeliveryInfo.js", "JavaScript", 4914, 0, 0, 0, 0, 0, 0, 4914
"e:\cnc_clone\src\components\PriceInquiry\DeliveryInfo.vue", "Vue", 0, 338, 0, 0, 0, 9, 39, 386
"e:\cnc_clone\src\components\PriceInquiry\DeliveryMethod.vue", "Vue", 0, 125, 0, 0, 0, 0, 13, 138
"e:\cnc_clone\src\components\PriceInquiry\ExpressInfo.vue", "Vue", 0, 458, 0, 0, 0, 26, 65, 549
"e:\cnc_clone\src\components\PriceInquiry\InvoiceEditDialog.vue", "Vue", 0, 636, 0, 0, 0, 12, 76, 724
"e:\cnc_clone\src\components\PriceInquiry\InvoiceInfo.vue", "Vue", 0, 175, 0, 0, 0, 3, 22, 200
"e:\cnc_clone\src\components\PriceInquiry\OrderInfo.vue", "Vue", 0, 161, 0, 0, 0, 2, 30, 193
"e:\cnc_clone\src\components\PriceInquiry\OtherInfo.vue", "Vue", 0, 97, 0, 0, 0, 1, 11, 109
"e:\cnc_clone\src\components\PriceInquiry\PackageRequirements.vue", "Vue", 0, 111, 0, 0, 0, 0, 12, 123
"e:\cnc_clone\src\components\PriceInquiry\ReceiptDelivery.vue", "Vue", 0, 111, 0, 0, 0, 0, 11, 122
"e:\cnc_clone\src\components\PriceInquiry\TotalInfo.vue", "Vue", 0, 373, 0, 0, 0, 10, 33, 416
"e:\cnc_clone\src\components\SignIn\AmountDialog.vue", "Vue", 0, 70, 0, 0, 0, 3, 8, 81
"e:\cnc_clone\src\components\SignIn\DataDashboard.vue", "Vue", 0, 526, 0, 0, 0, 19, 68, 613
"e:\cnc_clone\src\components\SignIn\Login.vue", "Vue", 0, 212, 0, 0, 0, 24, 35, 271
"e:\cnc_clone\src\components\SignIn\LogisticsInfo.vue", "Vue", 0, 15, 0, 0, 0, 0, 3, 18
"e:\cnc_clone\src\components\SignIn\ModelInfoDialog.vue", "Vue", 0, 85, 0, 0, 0, 3, 12, 100
"e:\cnc_clone\src\components\SignIn\OrderInfo.vue", "Vue", 0, 299, 0, 0, 0, 18, 25, 342
"e:\cnc_clone\src\components\SignIn\PartAuditInfo.vue", "Vue", 0, 274, 0, 0, 0, 19, 32, 325
"e:\cnc_clone\src\components\SignIn\ShippingDialog.vue", "Vue", 0, 184, 0, 0, 0, 16, 26, 226
"e:\cnc_clone\src\components\SignIn\UserInfo.vue", "Vue", 0, 15, 0, 0, 0, 0, 3, 18
"e:\cnc_clone\src\components\SignIn\eventBus.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3
"e:\cnc_clone\src\components\SignUp\Register.vue", "Vue", 0, 202, 0, 0, 0, 15, 33, 250
"e:\cnc_clone\src\components\common\CountDown.vue", "Vue", 0, 101, 0, 0, 0, 14, 16, 131
"e:\cnc_clone\src\components\common\QrCode.vue", "Vue", 0, 214, 0, 0, 0, 7, 40, 261
"e:\cnc_clone\src\components\quote\AutomationTool.js", "JavaScript", 1475, 0, 0, 0, 0, 8, 11, 1494
"e:\cnc_clone\src\components\quote\FileList.vue", "Vue", 0, 481, 0, 0, 0, 26, 54, 561
"e:\cnc_clone\src\components\quote\FileUploader.vue", "Vue", 0, 172, 0, 0, 0, 12, 23, 207
"e:\cnc_clone\src\components\quote\HistoryList.vue", "Vue", 0, 231, 0, 0, 0, 15, 30, 276
"e:\cnc_clone\src\components\quote\ParameterInfo.vue", "Vue", 0, 1215, 0, 0, 0, 56, 110, 1381
"e:\cnc_clone\src\components\quote\processList.js", "JavaScript", 65, 0, 0, 0, 0, 0, 1, 66
"e:\cnc_clone\src\directives\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"e:\cnc_clone\src\main.js", "JavaScript", 38, 0, 0, 0, 0, 23, 15, 76
"e:\cnc_clone\src\router\index.js", "JavaScript", 171, 0, 0, 0, 0, 29, 12, 212
"e:\cnc_clone\src\store\PriceInquiryDatas.js", "JavaScript", 19, 0, 0, 0, 0, 0, 1, 20
"e:\cnc_clone\src\store\UnifiedPaymentDatas.js", "JavaScript", 21, 0, 0, 0, 0, 2, 5, 28
"e:\cnc_clone\src\store\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 2, 5
"e:\cnc_clone\src\store\modules\auth.js", "JavaScript", 161, 0, 0, 0, 0, 20, 25, 206
"e:\cnc_clone\src\store\modules\contact.js", "JavaScript", 28, 0, 0, 0, 0, 1, 4, 33
"e:\cnc_clone\src\store\modules\news.js", "JavaScript", 36, 0, 0, 0, 0, 3, 5, 44
"e:\cnc_clone\src\store\modules\site.js", "JavaScript", 60, 0, 0, 0, 0, 2, 6, 68
"e:\cnc_clone\src\store\user.js", "JavaScript", 34, 0, 0, 0, 0, 3, 6, 43
"e:\cnc_clone\src\utils\analytics.js", "JavaScript", 34, 0, 0, 0, 0, 4, 3, 41
"e:\cnc_clone\src\utils\request.js", "JavaScript", 41, 0, 0, 0, 0, 4, 7, 52
"e:\cnc_clone\src\views\Admin\Admin.vue", "Vue", 0, 129, 0, 0, 0, 11, 16, 156
"e:\cnc_clone\src\views\Home\Home.vue", "Vue", 0, 35, 0, 0, 0, 8, 8, 51
"e:\cnc_clone\src\views\Members\Members.vue", "Vue", 0, 29, 0, 0, 0, 0, 3, 32
"e:\cnc_clone\src\views\NavHeader\About\About.vue", "Vue", 0, 329, 0, 0, 0, 5, 38, 372
"e:\cnc_clone\src\views\NavHeader\About\News.vue", "Vue", 0, 388, 0, 0, 0, 19, 41, 448
"e:\cnc_clone\src\views\NavHeader\Contact\Contact.vue", "Vue", 0, 512, 0, 0, 0, 15, 68, 595
"e:\cnc_clone\src\views\NavHeader\CustomerGuidance\CustomerGuidance.vue", "Vue", 0, 113, 0, 0, 0, 4, 18, 135
"e:\cnc_clone\src\views\NavHeader\MaterialDetail.vue", "Vue", 0, 177, 0, 0, 0, 6, 24, 207
"e:\cnc_clone\src\views\NotFound.vue", "Vue", 0, 99, 0, 0, 0, 0, 17, 116
"e:\cnc_clone\src\views\Order\OnlineQuote.vue", "Vue", 0, 211, 0, 0, 0, 7, 23, 241
"e:\cnc_clone\src\views\Order\PriceInquiry.vue", "Vue", 0, 72, 0, 0, 0, 10, 14, 96
"e:\cnc_clone\src\views\Order\SubmitOrder.vue", "Vue", 0, 180, 0, 0, 0, 7, 31, 218
"e:\cnc_clone\src\views\Profile\Profile.vue", "Vue", 0, 259, 0, 0, 0, 6, 36, 301
"e:\cnc_clone\src\views\auth\RegisterView.vue", "Vue", 0, 132, 0, 0, 0, 11, 26, 169
"Total", "-", 7225, 17776, 34, 157, 20, 1053, 2291, 28556